CustomerKey,Prefix,FirstName,LastName,,BirthDate,MaritalStatus,Gender,EmailAddress,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner,Age
11000,MR.,JON,YANG,MR. JON YANG,04/08/1966,M,M,jon24@learnsector.com,90000,2,Bachelors,Professional,Y,
11001,MR.,EUGENE,HUANG,MR. EUGENE HUANG,14/05/1965,S,M,eugene10@learnsector.com,60000,3,Bachelors,Professional,N,
11002,MR.,RUBEN,TORRES,MR. RUBEN TORRES,08/12/1965,M,M,ruben35@learnsector.com,60000,3,Bachelors,Professional,Y,
11003,MS.,CHRISTY,ZHU,MS. CHRISTY ZHU,15/02/1968,S,F,christy12@learnsector.com,70000,0,Bachelors,Professional,N,
11004,MRS.,ELIZABETH,JOHNSON,MRS. ELIZABETH JOHNSON,08/08/1968,S,F,elizabeth5@learnsector.com,80000,5,Bachelors,Professional,Y,
11005,MR.,JULIO,RUIZ,MR. JULIO RUIZ,08/05/1965,S,M,julio1@learnsector.com,70000,0,Bachelors,Professional,Y,
11007,MR.,MARCO,MEHTA,MR. MARCO MEHTA,05/09/1964,M,M,marco14@learnsector.com,60000,3,Bachelors,Professional,Y,
11008,MRS.,ROBIN,VERHOFF,MRS. ROBIN VERHOFF,07/07/1964,S,F,rob4@learnsector.com,60000,4,Bachelors,Professional,Y,
11009,MR.,SHANNON,CARLSON,MR. SHANNON CARLSON,04/01/1964,S,M,shannon38@learnsector.com,70000,0,Bachelors,Professional,N,
11010,MS.,JACQUELYN,SUAREZ,MS. JACQUELYN SUAREZ,02/06/1964,S,F,jacquelyn20@learnsector.com,70000,0,Bachelors,Professional,N,
11011,MR.,CURTIS,LU,MR. CURTIS LU,11/04/1963,M,M,curtis9@learnsector.com,60000,4,Bachelors,Professional,Y,
11012,MRS.,LAUREN,WALKER,MRS. LAUREN WALKER,18/01/1968,M,F,lauren41@learnsector.com,100000,2,Bachelors,Management,Y,
11013,MR.,IAN,JENKINS,MR. IAN JENKINS,08/06/1968,M,M,ian47@learnsector.com,100000,2,Bachelors,Management,Y,
11014,MRS.,SYDNEY,BENNETT,MRS. SYDNEY BENNETT,05/09/1968,S,F,sydney23@learnsector.com,100000,3,Bachelors,Management,N,
11015,MS.,CHLOE,YOUNG,MS. CHLOE YOUNG,27/02/1979,S,F,chloe23@learnsector.com,30000,0,Partial College,Skilled Manual,N,
11016,MR.,WYATT,HILL,MR. WYATT HILL,28/04/1979,M,M,wyatt32@learnsector.com,30000,0,Partial College,Skilled Manual,Y,
11017,MRS.,SHANNON,WANG,MRS. SHANNON WANG,26/06/1944,S,F,shannon1@learnsector.com,20000,4,High School,Skilled Manual,Y,
11018,MR.,CLARENCE,RAI,MR. CLARENCE RAI,10/09/1944,S,M,clarence32@learnsector.com,30000,2,Partial College,Clerical,Y,
11019,MR.,LUKE,LAL,MR. LUKE LAL,03/07/1978,S,M,luke18@learnsector.com,40000,0,High School,Skilled Manual,N,
11020,MR.,JORDAN,KING,MR. JORDAN KING,20/09/1978,S,M,jordan73@learnsector.com,40000,0,High School,Skilled Manual,N,
11021,MS.,DESTINY,WILSON,MS. DESTINY WILSON,09/03/1978,S,F,destiny7@learnsector.com,40000,0,Partial College,Skilled Manual,N,
11022,MR.,ETHAN,ZHANG,MR. ETHAN ZHANG,10/12/1978,M,M,ethan20@learnsector.com,40000,0,Partial College,Skilled Manual,Y,
11023,MR.,SETH,EDWARDS,MR. SETH EDWARDS,10/11/1978,M,M,seth46@learnsector.com,40000,0,Partial College,Skilled Manual,Y,
11024,MR.,RUSSELL,XIE,MR. RUSSELL XIE,17/09/1978,M,M,russell7@learnsector.com,60000,0,Partial College,Skilled Manual,Y,
11025,,ALEJANDRO,BECK, ALEJANDRO BECK,23/12/1945,M,NA,alejandro45@learnsector.com,10000,2,Partial High School,Clerical,Y,
11026,MR.,HAROLD,SAI,MR. HAROLD SAI,04/03/1946,S,M,harold3@learnsector.com,30000,2,Partial College,Clerical,N,
11027,MR.,JESSIE,ZHAO,MR. JESSIE ZHAO,12/07/1946,M,M,jessie16@learnsector.com,30000,2,Partial College,Clerical,Y,
11028,MRS.,JILL,JIMENEZ,MRS. JILL JIMENEZ,04/11/1946,M,F,jill13@learnsector.com,30000,2,Partial College,Clerical,Y,
11029,MR.,JIMMY,MORENO,MR. JIMMY MORENO,21/12/1946,M,M,jimmy9@learnsector.com,30000,2,Partial College,Clerical,Y,
11030,MRS.,BETHANY,YUAN,MRS. BETHANY YUAN,22/02/1947,M,F,bethany10@learnsector.com,10000,2,Partial High School,Clerical,Y,
11031,MRS.,THERESA,RAMOS,MRS. THERESA RAMOS,22/08/1947,M,F,theresa13@learnsector.com,20000,4,High School,Skilled Manual,Y,
11032,MRS.,DENISE,STONE,MRS. DENISE STONE,06/11/1947,M,F,denise10@learnsector.com,20000,4,High School,Skilled Manual,Y,
11033,MR.,JAIME,NATH,MR. JAIME NATH,23/09/1947,M,M,jaime41@learnsector.com,20000,4,High School,Skilled Manual,Y,
